epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.4768,1.95448,0.49091,1,1.15356,0.0674648,0.000328638,0.000328638
2,21.3635,1.03363,0.70909,0.98182,0.59692,0.0344595,0.000656676,0.000656676
3,30.5553,0.65798,0.81818,1,0.69678,0.00144886,0.00097938,0.00097938
4,40.4404,0.51456,0.63636,1,1.2959,0.000976,0.000976,0.000976
5,50.4907,0.45181,0.89091,1,0.34412,0.000968,0.000968,0.000968
6,60.5248,0.38117,0.92727,1,0.14087,0.00096,0.00096,0.00096
7,69.3107,0.27447,0.96364,1,0.17242,0.000952,0.000952,0.000952
8,79.1771,0.24112,0.89091,1,0.24426,0.000944,0.000944,0.000944
9,89.1695,0.27555,0.89091,1,0.30676,0.000936,0.000936,0.000936
10,99.3174,0.23178,0.96364,1,0.09415,0.000928,0.000928,0.000928
11,108.133,0.17175,0.92727,1,0.09412,0.00092,0.00092,0.00092
12,118.28,0.24408,0.96364,1,0.11803,0.000912,0.000912,0.000912
13,128.279,0.18537,0.94545,1,0.17383,0.000904,0.000904,0.000904
14,138.272,0.16484,0.98182,1,0.09165,0.000896,0.000896,0.000896
15,147.164,0.17134,0.90909,1,0.3208,0.000888,0.000888,0.000888
16,157.255,0.15605,0.94545,1,0.0803,0.00088,0.00088,0.00088
17,167.374,0.15796,0.96364,1,0.08176,0.000872,0.000872,0.000872
18,177.426,0.13718,0.98182,1,0.0519,0.000864,0.000864,0.000864
19,186.296,0.11226,0.94545,1,0.1041,0.000856,0.000856,0.000856
20,196.275,0.14087,0.98182,1,0.05539,0.000848,0.000848,0.000848
21,206.306,0.13668,1,1,0.02404,0.00084,0.00084,0.00084
22,216.301,0.16252,0.98182,1,0.04037,0.000832,0.000832,0.000832
23,225.242,0.11614,1,1,0.03947,0.000824,0.000824,0.000824
24,235.249,0.15525,1,1,0.01363,0.000816,0.000816,0.000816
25,245.304,0.13335,1,1,0.03,0.000808,0.000808,0.000808
26,255.208,0.136,0.98182,1,0.02614,0.0008,0.0008,0.0008
27,264.304,0.10213,0.96364,1,0.07961,0.000792,0.000792,0.000792
28,274.276,0.09064,1,1,0.01918,0.000784,0.000784,0.000784
29,284.32,0.11461,0.98182,1,0.05385,0.000776,0.000776,0.000776
30,294.454,0.09496,0.98182,1,0.08025,0.000768,0.000768,0.000768
31,303.527,0.06813,1,1,0.01394,0.00076,0.00076,0.00076
